,ev_id,ntsb_no,ev_date,ev_type,Aircraft_Key,aircraft category,flight purpose,acft_make,acft_model,homebuilt,num_eng,eng_no,eng_type,damage,far_part,regis_no,ev_city,ev_state,ev_country,latitude,longitude,ev_nr_apt_id,apt_name,ev_highest_injury,inj_tot_f,inj_tot_s,inj_tot_m,inj_tot_n,wx_cond_basic,Occurrence_No,broad phase of flight,specific phase of flight,Occurrence
39130,20201107102246,WPR21LA039,2020-11-06,ACC,1.0,Helicopter,,AGUSTA,A109,N,2.0,2.0,TS,SUBS,135,N109EX,Los Angeles,CA,USA,034329N,1181229W,CL00,USC University Hospital (KECK ,SERS,0.0,2.0,2.0,0.0,VMC,2.0,Emergency Descent,Emergency Descent,Collision with terr/obj (non-CFIT)
39131,20201110102265,CEN21LA051,2020-11-06,ACC,1.0,Airplane,Instructional,CIRRUS,SR22,N,1.0,1.0,REC,SUBS,091,N418DE,Denver,CO,USA,393412N,1045056W,KAPA,Centennial Airport,NONE,0.0,0.0,0.0,2.0,VMC,2.0,Landing,Landing,Other weather encounter
39132,20201109102251,ERA21LA039,2020-11-06,ACC,1.0,Airplane,Instructional,DIAMOND,DA40,N,1.0,1.0,REC,SUBS,091,N232JP,Winder,GA,USA,335858N,0083402W,WDR,Barrow County Airport,NONE,0.0,0.0,0.0,1.0,VMC,5.0,Landing,Landing-Flare/Touchdown,Loss of control on ground
39133,20210104102489,CEN21LA108,2020-11-06,ACC,1.0,Airplane,Instructional,CIRRUS DESIGN CORP,SR20,N,1.0,1.0,REC,SUBS,091,N720TX,Fort Worth,TX,USA,032597N,0097195W,AFW,FORT WORTH ALLIANCE,NONE,0.0,0.0,0.0,2.0,VMC,1.0,Landing,Landing-Landing Roll,Landing gear collapse
39134,20201107102247,ANC21LA006,2020-11-06,ACC,1.0,Airplane,Ferry,PILATUS,PC12,N,1.0,,,SUBS,091,N400PW,Hilo,HI,USA,273537N,1393910W,,,NONE,0.0,0.0,0.0,2.0,VMC,1.0,Enroute,Enroute-Cruise,Loss of engine power (total)
39135,20201107102245,CEN21FA043,2020-11-06,ACC,,,,,,,,,,,,,Fredericksburg,TX,USA,301456N,0985640W,,,FATL,1.0,0.0,0.0,0.0,VMC,,,,
39136,20201106102244,WPR21LA038,2020-11-06,ACC,1.0,Airplane,Personal,CESSNA,150F,N,1.0,1.0,REC,SUBS,091,N8700G,Chandler,AZ,USA,033168N,1114835W,CHD,Chandler,NONE,0.0,0.0,0.0,2.0,VMC,1.0,Unknown broad phase,Takeoff,Fuel exhaustion
39137,20201110102260,CEN21LA048,2020-11-07,ACC,1.0,Airplane,Personal,PIPER,PA-28-140,N,1.0,1.0,REC,SUBS,091,N9993W,Greenville,MI,USA,043832N,0851514W,6D6,Greenville Municipal Airport,NONE,0.0,0.0,0.0,3.0,VMC,4.0,Prior to flight,Prior to flight,Aircraft maintenance event
39138,20201109102252,WPR21LA040,2020-11-07,ACC,,,,,,,,,,,,,Clayton,CA,USA,375024N,1215229W,,,SERS,0.0,2.0,2.0,0.0,VMC,,,,
39139,20201109102256,CEN21LA047,2020-11-07,ACC,1.0,Airplane,Personal,ERCOUPE,415,N,1.0,1.0,REC,SUBS,091,N331BW,Ardmore,OK,USA,034740N,0097348W,,,SERS,0.0,1.0,1.0,0.0,VMC,4.0,Maneuvering,Maneuvering-Low-alt flying,Low altitude operations
