ev_id,Aircraft_Key,eng_no,eng_type,eng_mfgr,eng_model,power_units,hp_or_lbs,lchg_userid,lchg_date,carb_fuel_injection,propeller_type,propeller_make,propeller_model,eng_time_total,eng_time_last_insp,eng_time_overhaul
"20080211X00172",1,1,"TF","WILLIAMS","FJ 44 SERIES",1900,"LBS",,"09/25/20 18:04:02",,,,,0,0,0
"20080211X00172",1,2,"TF","WILLIAMS","FJ 44 SERIES",1900,"LBS",,"09/25/20 18:04:02",,,,,0,0,0
"20080305X00264",1,1,"REC","Lycoming","O-235",125,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080330X00398",1,1,"TF","General Electric","CF700",4500,"LBS",,"09/25/20 18:07:03",,,,,0,0,0
"20080330X00398",1,2,"TF","General Electric","CF700",4500,"LBS",,"09/25/20 18:07:03",,,,,0,0,0
"20080206X00142",1,1,"REC","CONT MOTOR","IO-550-N",310,"HP",,"09/25/20 18:04:46",,,,,0,0,0
"20080211X00167",1,1,"REC","Continental","IO-520-K1B",300,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080207X00150",1,1,"REC","LYCOMING","O-320",160,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080306X00273",1,1,"REC","Subaru","EA81",108,"HP",,"09/25/20 18:04:02","CARB",,,,0,0,0
"20080225X00233",1,1,"REC","Continental","C85",,,,"09/25/20 18:05:31",,,,,0,0,0
"20080229X00248",1,1,"REC","Lycoming","O-360-A4M",,,,"09/25/20 18:07:03",,,,,0,0,0
"20080226X00236",1,1,"TS","Allison","T63",,,,"09/25/20 18:06:16",,,,,0,0,0
"20080211X00174",1,1,"REC","Lycoming","O-235-L2C",110,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080211X00173",1,1,"REC","General Motors","Corvair/T1123",100,"HP",,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080226X00235",1,1,"REC","Lycoming","IO-540-AE1A5",300,"HP",,"09/25/20 18:06:16","FINJ",,,,0,0,0
"20080219X00205",1,1,"REC","Continental","IO-520",,,,"09/25/20 18:04:46","FINJ",,,,0,0,0
"20080211X00168",1,1,"REC","Lycoming","TIO-540-AH1A",300,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
"20080222X00227",1,1,"TS","Turbomeca","Arriel 1D1",732,"HP",,"09/25/20 18:04:46",,,,,0,0,0
"20080326X00389",1,1,"REC","P & W","R-985",,,,"09/25/20 18:04:46",,,,,0,0,0
"20080305X00269",1,1,"REC","Lycoming","O-320-E2D",,,,"09/25/20 18:06:16","CARB",,,,0,0,0
"20080211X00171",1,1,"REC","LYCOMING","IO-540 ",300,"HP",,"09/25/20 18:05:31","FINJ",,,,0,0,0
